UNITID,F1A01,F1A09,F1B01,F1H02   
162283,1344484,11479051,3906761,779586
162557,19017792,5723272,16249364,10644141
162584,30546682,37716450,26091709,18532524
162609,4294982,1191973,1981892,2429649
162690,23784979,7011432,15917970,7447057
162706,25972957,6251649,12564306,5140554
162779,36895232,16208568,29995089,6564699
163204,294644560,72073335,287102535,13609378
163259,353983861,172508330,100220650,226307185
163268,120672569,92746021,95126751,70014004
163286,704643149,386836850,408741789,440497952
163338,25312283,13873907,18358372,22950684
163426,123076933,42398163,62912134,19469665
163453,80894688,36150384,38364293,23671970
163657,58659952,12182230,26585382,2789437
163851,102461174,52392227,50002136,45712416
163912,16935908,8998759,24545384,29144009
164076,212877388,118127868,127725537,58806652
164146,155265594,7345237,0,22220757
164155,,,0,203433599
164313,11985644,5863662,5983337,2512967
164535,,,619023,
164775,6004564,3286073,5858877,51745
165024,62265666,114358192,75584928,28746753
165033,25151225,8450078,21174223,4369512
165112,16009616,13120490,25833510,2178025
165194,8640623,4779202,8103603,4682377
165608,,,488508,
165820,23671769,16875750,30080912,11766975
165866,31682663,14986407,33455320,26780480
165981,1897512,3783496,7087690,
166133,13226728,7477552,17044705,4580868
166513,67467000,80343000,139748000,60176000
166629,162911000,299873000,323331000,272087452
166638,65398000,98455000,153084000,66310000
166647,4670766,4800055,12804031,2246021
166665,63750000,86528000,7024000,300478000
166674,18372288,8594503,22000229,14553025
166692,24279027,9279879,14742124,10363395
166708,210525130,166098610,14367005,171437000
166823,20275937,9929557,26105584,1500067
166887,15512142,10000010,21316273,
166957,11510601,6375141,12551108,4075647
167288,17174212,6307764,9548185,8075337
167312,15390880,9487416,17255453,
167376,15215012,7611344,12739144,4294275
167525,15678923,3411678,14424273,
167534,19418618,11009064,20794921,3418698
167631,4618099,4655569,4139628,3476415
167729,47129605,23369392,53855824,17036366
167871,,,498231,
167905,22338675,11215731,14548938,
167987,34158000,120355000,76821000,43597911
168263,43343566,15215038,40428823,5182312
168430,38967472,12242715,34136838,11247409
168607,6504871,3584624,3612064,3586579
168883,5927193,3383157,5492807,7698259
169248,148493044,93351364,214482391,92408908
169275,27309040,14183124,19383424,37505416
169521,50052223,10946019,23621224,15194831
169798,49230373,72125245,168464150,58044421
169910,115274758,29906730,114449198,40216417
169974,3893499,1344120,2115069,2769768
169992,3819551,2311733,2024716,3156789
170055,41927176,32479297,40691204,34191926
170082,136498709,94749408,218589455,87628012
170240,17906833,14089860,16096138,3746806
170444,18254106,7366260,11527733,9325856
170541,40914986,8322352,17741493,12746350
170550,16678881,6458710,12353782,
170587,7376538,3252931,3446444,2000000
170620,22542571,10747420,7060930,7557442
170639,14181885,5046511,15342873,16349116
170657,51587589,25381039,29363192,9891702
170790,29704703,16788289,43642309,17333423
170976,2056045000,1378273000,924302000,8272366000
171100,574305017,488336790,697335878,2007498264
171128,31296562,21927137,78187511,83623425
171137,40198000,14610000,73461000,28697000
171146,58956000,6505000,66908000,81248000
171155,25185051,4643733,12712088,647722
171225,9142355,3038373,6524120,2376433
171234,3928446,1785500,2424560,9502393
171304,21959893,8868506,9786700,370351
171395,12404737,1979358,3609166,3036179
171456,35147270,25403301,61835937,13887228
171483,7776440,7709269,17746604,10241469
171535,27285734,20915293,31900280,
171571,197668592,56406093,155967342,61431555
172051,75551609,34448192,70302900,60482873
172200,31775361,12215565,22935937,6934554
172291,19996504,4209217,9971573,7168167
172307,7973051,3162479,7532193,9578494
172422,,,2712,
172617,16635462,18020076,24659119,11242044
172635,143810031,16915508,20768709,
172644,526239508,272068311,236262449,287718665
172671,15803831,2284429,1621135,414003
172699,79393201,97257519,223204256,262300263
172918,12122000,3907000,8173000,
172954,10847000,2632000,5557000,
172963,31642000,7081000,18162000,
173063,10042000,3056000,7753000,
173115,5211000,1292000,2599000,
173124,38713000,8967000,21067000,15289000
173203,15262000,5040000,8439000,
173416,18233000,5724000,9079000,
173461,17169000,4738000,12926000,
173559,20361000,6598000,13828000,2989000
173638,14677000,4500000,7315000,
173708,18583000,6764000,14108000,
173735,9005000,2994000,5451000,
173799,23395000,5132000,13603000,
173805,6801000,2624000,2772000,
173911,16741000,6074000,9825000,
173920,112234000,29434000,78369000,35614000
173993,6385000,1745000,2284000,
174020,74161000,9772000,30360000,2403000
174066,565658005,695617220,601359427,2610544078
174075,6196493,3287387,10905777,13669158
174136,37501000,10378000,15030000,
174233,50065756,25299189,91843549,130344316
174251,7981258,3225135,10440197,11236222
174358,66320000,16626000,31309000,10087000
174376,37060000,7304000,14569000,
174428,50188000,10788000,23309000,
174473,15839000,4124000,9032000,
174570,4194000,2068000,1605000,
174604,3187000,529000,1053000,
174738,25508000,6932000,14696000,
174756,26586000,4720000,10481000,
174783,123062000,41837000,64213000,17517000
175041,29794000,5993000,10451000,
175078,23198000,6752000,13691000,2881000
175157,3398000,890000,1786000,
175236,23058000,5150000,10857000,
175263,7085000,2632000,5295000,
175272,89733000,20325000,46036000,17478000
175315,31569000,9805000,21518000,1181000
